,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes,Income-related | Excessive Housing Cost,Physical Activity | Teen Computer Time,"Respiratory Infection | Flu Vaccinations, Medicare",Substance Use | Teen Smoking
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,7.7,25.19174685,38.2,50.0,11.6
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.191746850000005,35.78892043347917,50.4,9.302563100623223
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.191746850000005,37.053628746067226,50.4,13.060114312963195
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.191746850000005,36.48008554660301,44.199999999999996,11.300014920919127
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,38.76539139165499,44.199999999999996,6.861026735201303
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,39.27759967370638,44.199999999999996,9.601482968419802
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.191746850000005,39.98471941664624,33.0,8.369079204445356
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,39.81907523810667,33.0,8.320540289591092
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,39.459470481509925,33.0,9.820699196552455
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.191746850000005,40.94202822722185,36.8,13.725259455986858
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,39.419497377984506,36.800000000000004,11.160543342248234
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,39.97961858775798,36.800000000000004,13.420475873602388
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.191746850000005,35.98011041480155,50.4,13.77989157465433
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.191746850000005,31.136084085595638,53.6,14.301547132572571
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,33.279454622647,53.6,12.480085606914937
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.139999999999999,25.19174685,34.959242226262496,53.6,13.300447060472223
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,7.7,25.191746849999998,38.2,50.0,11.6
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.19174685,32.0,50.4,11.5
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.19174685,35.0,50.4,16.2
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.19174685,35.980000000000004,44.199999999999996,13.6
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,38.76546401431243,44.2,6.861026863370218
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,37.51029806978479,44.2,9.601483153552609
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.19174685,36.1,33.0,11.0
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,39.13927769472761,33.0,8.320540356917585
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,39.459470415544764,33.0,9.820699283680854
25,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.19174685,40.4,36.8,17.7
26,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,39.499473483379376,36.800000000000004,11.740370628079667
27,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,39.97961854023339,36.800000000000004,13.420475932884408
28,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.19174685,35.980000000000004,50.4,13.780000000000001
29,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.19174685,27.0,53.6,17.0
30,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,33.279454554701665,53.60000000000001,12.480085617558537
31,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.139999999999999,25.191746849999998,33.83957577957412,53.60000000000001,13.980244544321812
32,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,7.7,25.191746849999998,38.2,50.0,11.6
33,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,10.14,25.19174685,37.35167457232616,50.4,8.740607253909833
34,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,10.14,25.19174685,37.98227486850235,50.4,12.182396497441779
35,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2012,10.14,25.19174685,37.80001987478884,46.0,10.360061611845376
